Sample in Buffer,Sample in Window,TRIGGER,u_ddr3_ctrl_2port/u_fifo_axi4_adapter/fifo_to_axi4_inst/w_done,u_ddr3_ctrl_2port/u_fifo_axi4_adapter/fifo_to_axi4_inst/m_axi_awaddr[31:0]
0,0,0,0,001c1e00
1,1,0,0,001c1e00
2,2,0,0,001c1e00
3,3,0,0,001c1e00
4,4,0,0,001c1e00
5,5,0,0,001c1e00
6,6,0,0,001c1e00
7,7,0,0,001c1e00
8,8,0,0,001c1e00
9,9,0,0,001c1e00
10,10,0,0,001c1e00
11,11,0,0,001c1e00
12,12,0,0,001c1e00
13,13,0,0,001c1e00
14,14,0,0,001c1e00
15,15,0,0,001c1e00
16,16,0,0,001c1e00
17,17,0,0,001c1e00
18,18,0,0,001c1e00
19,19,0,0,001c1e00
20,20,0,0,001c1e00
21,21,0,0,001c1e00
22,22,0,0,001c1e00
23,23,0,0,001c1e00
24,24,0,0,001c1e00
25,25,0,0,001c1e00
26,26,0,0,001c1e00
27,27,0,0,001c1e00
28,28,0,0,001c1e00
29,29,0,0,001c1e00
30,30,0,0,001c1e00
31,31,0,0,001c1e00
32,32,0,0,001c1e00
33,33,0,0,001c1e00
34,34,0,0,001c1e00
35,35,0,0,001c1e00
36,36,0,0,001c1e00
37,37,0,0,001c1e00
38,38,0,0,001c1e00
39,39,0,0,001c1e00
40,40,0,0,001c1e00
41,41,0,0,001c1e00
42,42,0,0,001c1e00
43,43,0,0,001c1e00
44,44,0,0,001c1e00
45,45,0,0,001c1e00
46,46,0,0,001c1e00
47,47,0,0,001c1e00
48,48,0,0,001c1e00
49,49,0,0,001c1e00
50,50,0,0,001c1e00
51,51,0,0,001c1e00
52,52,0,0,001c1e00
53,53,0,0,001c1e00
54,54,0,0,001c1e00
55,55,0,0,001c1e00
56,56,0,0,001c1e00
57,57,0,0,001c1e00
58,58,0,0,001c1e00
59,59,0,0,001c1e00
60,60,0,0,001c1e00
61,61,0,0,001c1e00
62,62,0,0,001c1e00
63,63,0,0,001c1e00
64,64,0,0,001c1e00
65,65,0,0,001c1e00
66,66,0,0,001c1e00
67,67,0,0,001c1e00
68,68,0,0,001c1e00
69,69,0,0,001c1e00
70,70,0,0,001c1e00
71,71,0,0,001c1e00
72,72,0,0,001c1e00
73,73,0,0,001c1e00
74,74,0,0,001c1e00
75,75,0,0,001c1e00
76,76,0,0,001c1e00
77,77,0,0,001c1e00
78,78,0,0,001c1e00
79,79,0,0,001c1e00
80,80,0,0,001c1e00
81,81,0,0,001c1e00
82,82,0,0,001c1e00
83,83,0,0,001c1e00
84,84,0,0,001c1e00
85,85,0,0,001c1e00
86,86,0,0,001c1e00
87,87,0,0,001c1e00
88,88,0,0,001c1e00
89,89,0,0,001c1e00
90,90,0,0,001c1e00
91,91,0,0,001c1e00
92,92,0,0,001c1e00
93,93,0,0,001c1e00
94,94,0,0,001c1e00
95,95,0,0,001c1e00
96,96,0,0,001c1e00
97,97,0,0,001c1e00
98,98,0,0,001c1e00
99,99,0,0,001c1e00
100,100,0,0,001c1e00
101,101,0,0,001c1e00
102,102,0,0,001c1e00
103,103,0,0,001c1e00
104,104,0,0,001c1e00
105,105,0,0,001c1e00
106,106,0,0,001c1e00
107,107,0,0,001c1e00
108,108,0,0,001c1e00
109,109,0,0,001c1e00
110,110,0,0,001c1e00
111,111,0,0,001c1e00
112,112,0,0,001c1e00
113,113,0,0,001c1e00
114,114,0,0,001c1e00
115,115,0,0,001c1e00
116,116,0,0,001c1e00
117,117,0,0,001c1e00
118,118,0,0,001c1e00
119,119,0,0,001c1e00
120,120,0,0,001c1e00
121,121,0,0,001c1e00
122,122,0,0,001c1e00
